Area Code,Area Name,Owned: Owns outright,Owned: Owns with a mortgage or loan,Shared ownership: Shared ownership,Social rented: Rents from council or Local Authority,Social rented: Other social rented,Private rented: Private landlord or letting agency,Private rented: Other private rented,Lives rent free
K04000001,ENGLAND AND WALES,54172,69819,45035,59279,18494,18467,75085,11304
E92000001,ENGLAND,127077,70775,64768,39285,26002,90731,62492,37520
E12000001,NORTH EAST,19830,56823,67618,32888,73766,17351,9691,68510
E06000047,County Durham,115790,83207,55643,45159,112193,115216,30641,8237
E06000005,Darlington,2217,69916,11026,38006,50172,67773,25475,41875
E06000001,Hartlepool,39639,8984,23832,57148,67019,14482,49329,93014
E06000002,Middlesbrough,90841,87222,4947,29453,103304,8646,54310,57738
E06000057,Northumberland,56585,1346,101878,20046,36575,18590,6553,43455
E06000003,Redcar and Cleveland,7724,32473,51905,105348,12444,31585,80451,46289
E06000004,Stockton-on-Tees,10063,21605,76782,15339,60705,1074,53892,48321
E11000007,Tyne and Wear (Met County),73020,99348,67909,68057,95459,30789,35065,58353
E08000037,Gateshead,29026,77069,20034,16720,30720,44451,56228,50133
E08000021,Newcastle upon Tyne,39844,41086,68964,65975,39879,80787,73141,32306
E08000022,North Tyneside,85968,123740,91477,31338,141797,15257,87931,51223
E08000023,South Tyneside,81243,68199,68212,90377,22129,95127,24716,31180
E08000024,Sunderland,151526,136849,62567,54526,29974,88541,60531,125649
E12000002,NORTH WEST,60161,105101,82751,30665,43258,207,15192,113826
E06000008,Blackburn with Darwen,23649,63865,63834,72686,12382,38516,74404,80729
E06000009,Blackpool,33825,8262,53691,36528,65345,20558,80519,8235
E06000049,Cheshire East,76753,9468,32980,116877,23562,21922,74821,57710
E06000050,Cheshire West and Chester,29618,62154,85665,4234,54993,43877,86300,60999
E06000006,Halton,67740,8367,92487,81556,8875,12640,15732,2991
E06000007,Warrington,62364,23706,133382,63702,79641,64903,59040,31138
E10000006,Cumbria,6404,49295,92390,80549,66023,16900,44401,76587
E07000026,Allerdale,34520,87377,62724,1581,24633,65452,16823,87817
E07000027,Barrow-in-Furness,18591,15835,74871,41042,11946,142111,21479,90855
E07000028,Carlisle,92279,37079,30214,30400,6711,20646,15851,68081
E07000029,Copeland,114625,28420,45913,87283,2838,25225,63693,87729
E07000030,Eden,74739,74540,24487,37802,97186,69731,38702,132590
E07000031,South Lakeland,152394,130086,134376,10967,13532,100485,57634,77989
E11000001,Greater Manchester (Met County),6788,81404,7935,103940,73725,25379,43647,48931
E08000001,Bolton,89887,15289,31255,29537,32232,69216,82276,29377
E08000002,Bury,84980,2229,54630,121060,6541,18513,14989,29758
E08000003,Manchester,25791,16444,28983,9116,55408,2994,21549,56976
E08000004,Oldham,118715,7054,72066,20588,24065,71832,4328,19538
E08000005,Rochdale,139667,59510,76479,17165,71345,12030,14644,148832
E08000006,Salford,68536,15167,15657,31399,65137,11638,83667,76238
E08000007,Stockport,117991,58022,56074,5384,86243,81775,23494,52440
E08000008,Tameside,104053,35158,15541,47037,10290,85236,10009,21015
E08000009,Trafford,67844,11287,68158,89473,75427,13369,136907,34025
E08000010,Wigan,37531,70783,20780,133231,21451,5835,22779,133522
E10000017,Lancashire,60403,96187,63943,33309,33313,126155,53721,64862
E07000117,Burnley,90805,71223,105360,68784,42036,27461,128475,10623
E07000118,Chorley,143070,50601,105133,103352,76490,78295,70738,49877
E07000119,Fylde,26805,15957,71891,18372,124324,13857,65210,95788
E07000120,Hyndburn,41711,45798,17183,11398,44114,69828,23920,36807
E07000121,Lancaster,51026,80820,45568,21640,85947,25294,29269,232
E07000122,Pendle,61676,129057,69313,33219,47004,1529,45222,1157
E07000123,Preston,8810,64871,32568,106264,3234,4991,43244,97889
E07000124,Ribble Valley,18472,58426,21738,46453,19664,29257,23090,33390
E07000125,Rossendale,63285,28455,68018,35499,31840,17919,37470,11111
E07000126,South Ribble,77293,37111,30244,92216,25268,49391,135855,45864
E07000127,West Lancashire,61213,37008,7818,9342,39838,13801,14783,12585
E07000128,Wyre,93829,6178,55350,49732,54273,77820,58140,66151
E11000002,Merseyside (Met County),41254,100609,81694,57979,46745,28444,26973,145402
E08000011,Knowsley,6008,27120,89422,112663,107039,87107,116398,28628
E08000012,Liverpool,14645,68166,101542,22973,110368,2661,5353,15486
E08000014,Sefton,73082,124245,9382,41810,30104,38441,107317,103757
E08000013,St. Helens,11786,31312,106757,61342,29876,82512,77093,148689
E08000015,Wirral,92304,76843,58330,51730,19857,23017,99385,61550
E12000003,YORKSHIRE AND THE HUMBER,69163,5004,65881,29094,40851,14743,25537,27066
E06000011,East Riding of Yorkshire,22873,5482,15896,40200,37137,28014,70626,26473
E06000010,"Kingston upon Hull, City of",81232,96003,44597,54881,46407,4355,83229,47328
E06000012,North East Lincolnshire,2612,32452,60550,93263,17412,62861,45795,46039
E06000013,North Lincolnshire,16549,13405,45985,4293,13491,37776,26749,77285
E06000014,York,9767,28918,59491,94820,64202,104980,15906,24146
E10000023,North Yorkshire,61836,38476,16652,4617,81469,31461,67803,51870
E07000163,Craven,130599,81048,50603,61848,33840,90912,108330,26174
E07000164,Hambleton,45099,14078,13367,91095,72711,40723,108013,90176
E07000165,Harrogate,57921,10693,74583,22951,87954,30883,56867,47546
E07000166,Richmondshire,39273,52387,57309,31413,7528,85565,53206,62205
E07000167,Ryedale,69490,15573,72749,17313,16107,58259,39242,47245
E07000168,Scarborough,2400,95748,490,20666,126930,51232,57083,21327
E07000169,Selby,28816,88350,13059,19273,75348,78777,40875,22450
E11000003,South Yorkshire (Met County),92629,28346,2269,112792,27894,35028,71293,84897
E08000016,Barnsley,75624,135059,127063,125577,91896,74052,79298,136935
E08000017,Doncaster,126655,119739,75726,49840,28000,27813,69380,6369
E08000018,Rotherham,12006,123377,14159,62490,40785,142142,11712,7089
E08000019,Sheffield,42483,43948,5109,22841,24459,9256,97205,20899
E11000006,West Yorkshire (Met County),125956,32002,22062,91830,72488,30653,45210,13296
E08000032,Bradford,52613,53011,27417,103503,14372,38825,23040,13977
E08000033,Calderdale,74594,53478,27887,61833,59090,11511,5227,68108
E08000034,Kirklees,66152,44356,716,50616,82161,6896,16583,115886
E08000035,Leeds,22263,73522,23921,49627,44347,9496,61862,41407
E08000036,Wakefield,41903,38240,973,123636,53106,11965,136898,33601
E12000004,EAST MIDLANDS,117609,72840,34598,38491,104266,116187,568,10897
E06000015,Derby,14191,50180,97663,7416,88314,84430,52364,46263
E06000016,Leicester,141490,16205,1193,8130,30392,20203,132934,80857
E06000061,North Northamptonshire,14646,87091,93345,27026,55966,52064,124188,63505
E06000018,Nottingham,85441,23278,13935,38417,108686,9843,15068,53245
E06000017,Rutland,88588,38512,4456,48400,58081,94095,30699,27171
E06000062,West Northamptonshire,10004,65309,17413,104666,556,87497,21873,56766
E10000007,Derbyshire,38735,29550,47863,87934,50590,22416,90647,12623
E07000032,Amber Valley,63026,58536,19584,33295,106493,35242,63198,23918
E07000033,Bolsover,32710,47247,46968,80953,95679,56470,127471,7735
E07000034,Chesterfield,5402,73649,13941,123083,38074,50535,14793,68616
E07000035,Derbyshire Dales,44372,158580,19929,147335,16600,19822,47023,76765
E07000036,Erewash,71860,39193,100836,71553,70048,48818,101688,144411
E07000037,High Peak,13804,22458,51805,85674,66775,38426,40950,97786
E07000038,North East Derbyshire,61079,30410,1887,65812,30551,18680,56515,59368
E07000039,South Derbyshire,22647,14534,97733,58689,1124,29110,68475,50844
E10000018,Leicestershire,6142,62036,47774,25464,63849,8930,8874,51072
E07000129,Blaby,94193,23369,28436,804,71933,6778,22991,114514
E07000130,Charnwood,63580,63720,9145,18478,35867,29888,114813,48778
E07000131,Harborough,59457,61665,70533,16841,4697,37269,1034,64258
E07000132,Hinckley and Bosworth,64964,121965,106059,79222,77173,115106,36631,59217
E07000133,Melton,79830,14545,52723,7136,16542,71381,136205,27513
E07000134,North West Leicestershire,36442,133307,20826,124078,134785,33187,44019,13959
E07000135,Oadby and Wigston,104219,91888,115703,123095,8561,69245,65176,42913
E10000019,Lincolnshire,123545,93729,73341,88545,109759,49282,54599,28299
E07000136,Boston,28305,94118,24954,62831,91607,67920,30307,72560
E07000137,East Lindsey,38565,6106,61315,4066,39169,23748,42814,128958
E07000138,Lincoln,36987,28931,30313,80272,13457,39482,109691,75535
E07000139,North Kesteven,67692,42275,99645,24331,10179,54656,115195,26987
E07000140,South Holland,46872,36599,101588,27859,48613,90613,39218,19600
E07000141,South Kesteven,115051,105187,12963,60864,65476,31422,7217,56731
E07000142,West Lindsey,3465,47061,44785,51276,15086,123795,27584,60207
E10000024,Nottinghamshire,5897,53259,91119,86969,37438,66404,89607,54811
E07000170,Ashfield,125667,58501,4363,8516,53026,10860,8821,73714
E07000171,Bassetlaw,31113,8313,84805,77774,115086,52388,25286,25273
E07000172,Broxtowe,52852,117870,58377,2131,14153,49125,106555,417
E07000173,Gedling,123637,113088,21099,22583,27314,19874,14892,113674
E07000174,Mansfield,37832,44373,70274,77985,58207,35245,14852,19559
E07000175,Newark and Sherwood,70665,67110,88777,27587,194,20404,40189,38874
E07000176,Rushcliffe,57212,62459,55956,88317,31255,127128,36648,41686
E12000005,WEST MIDLANDS,39467,22304,9410,7433,804,36443,82029,45392
E06000019,"Herefordshire, County of",17529,30479,40934,118671,16949,33431,91229,60998
E06000051,Shropshire,345,82518,51014,20015,47337,14837,22428,281
E06000021,Stoke-on-Trent,71051,134307,41149,17994,42406,38004,79955,11599
E06000020,Telford and Wrekin,18217,24906,53599,1150,12634,91415,25642,63738
E10000028,Staffordshire,55750,86772,66630,35800,112056,70909,64797,329
E07000192,Cannock Chase,41509,81726,10985,106270,29635,1196,48074,76683
E07000193,East Staffordshire,30828,38148,21722,50978,127122,122460,8124,59662
E07000194,Lichfield,66603,71051,60211,11344,1438,105877,139698,52929
E07000195,Newcastle-under-Lyme,56263,73974,54988,108567,54881,108077,4833,29765
E07000196,South Staffordshire,74799,4492,14972,9198,73454,84047,36823,16459
E07000197,Stafford,123910,86596,56863,3884,13787,9329,61698,30356
E07000198,Staffordshire Moorlands,55997,75837,106396,102094,84685,116676,45594,21827
E07000199,Tamworth,2394,54958,113665,47554,23519,110532,40041,63741
E10000031,Warwickshire,56645,96391,15676,123576,47608,99804,9758,29309
E07000218,North Warwickshire,143776,53594,7372,76243,53225,5475,40135,17770
E07000219,Nuneaton and Bedworth,130799,148554,7754,90969,50779,104332,10843,69421
E07000220,Rugby,62163,79948,72638,127561,97763,117889,5570,124051
E07000221,Stratford-on-Avon,18096,110889,4762,38492,93561,10055,14954,71106
E07000222,Warwick,123898,65192,17683,65123,80643,38302,66083,116338
E11000005,West Midlands (Met County),60485,67053,64720,11754,3315,40643,15424,30930
E08000025,Birmingham,33423,4937,37240,61369,81205,46567,84327,41324
E08000026,Coventry,119514,72056,70020,61975,12224,40115,46181,38965
E08000027,Dudley,41033,83047,30878,12791,80928,107,52765,53662
E08000028,Sandwell,16667,136199,79156,57435,95688,15131,14221,92711
E08000029,Solihull,141950,101092,25862,66395,71096,1139,15835,65596
E08000030,Walsall,39658,59818,109615,42096,23194,123467,42348,58122
E08000031,Wolverhampton,7504,38953,47251,27469,38294,31037,139590,64959
E10000034,Worcestershire,48196,62980,4152,60784,18294,60812,115430,14403
E07000234,Bromsgrove,47331,15848,120296,42544,22605,25892,36372,31592
E07000235,Malvern Hills,35901,72834,95361,23026,32355,54477,30126,10051
E07000236,Redditch,3629,36690,52770,10262,733,46736,66217,25468
E07000237,Worcester,70525,55662,116481,15832,44697,37760,2636,55800
E07000238,Wychavon,78670,76050,57553,45481,29765,77938,7178,105705
E07000239,Wyre Forest,7890,90495,33477,7293,67875,52040,89830,48990
E12000006,East of England,23015,142028,4442,60507,37349,26976,11105,29726
E06000055,Bedford,94161,46247,23958,9445,105382,43322,70696,5920
E06000056,Central Bedfordshire,13375,18361,24455,31660,33440,9161,14647,137408
E06000032,Luton,40645,119616,20315,82199,5102,66888,4136,54053
