Area Code,Area Name,No religion,Christian,Buddhist,Hindu,Jewish,Muslim,Sikh,Other religion,Not answered
K04000001,ENGLAND AND WALES,70399,12446,5767,64112,78238,93981,2726,36801,30609
E92000001,ENGLAND,14083,16265,90581,68919,2316,48411,53748,91869,80269
E12000001,NORTH EAST,35861,39982,32171,90251,21578,42770,41732,83380,31556
E06000047,County Durham,8424,87049,17212,854,30354,53892,33517,88076,52975
E06000005,Darlington,28488,4057,28782,20606,75862,27710,84111,48553,14638
E06000001,Hartlepool,87610,67161,40820,53158,68844,78718,99684,39805,21026
E06000002,Middlesbrough,58697,94663,93811,94567,60175,91727,82276,95563,40866
E06000057,Northumberland,43775,36557,78451,24238,11860,77439,70531,63478,44482
E06000003,Redcar and Cleveland,8009,76353,38938,55558,39394,98987,37483,73558,75506
E06000004,Stockton-on-Tees,3325,85069,12120,63252,69502,86430,98374,74370,23184
E11000007,Tyne and Wear (Met County),98187,72968,40008,75616,65280,92897,30534,23182,32438
E08000037,Gateshead,35229,11308,79866,84978,33503,62336,50075,62816,92177
E08000021,Newcastle upon Tyne,96223,47054,6805,3091,26876,38339,94545,71094,80871
E08000022,North Tyneside,11489,83749,79089,13953,59866,52730,22440,39362,73559
E08000023,South Tyneside,45390,64972,67716,61419,67724,684,68643,67857,78562
E08000024,Sunderland,82533,46159,91544,55628,46726,65350,89027,99510,95462
E12000002,NORTH WEST,10880,68448,44577,27409,92372,87513,43512,66676,69978
E06000008,Blackburn with Darwen,54078,66419,37832,36413,31387,38948,83924,36934,14377
E06000009,Blackpool,93785,46454,58726,18565,36165,70957,15807,72406,9608
E06000049,Cheshire East,68319,69539,61532,28180,98413,26846,54367,12995,18985
E06000050,Cheshire West and Chester,17986,75914,78942,2135,81963,86198,36417,99558,27949
E06000006,Halton,18757,60257,70452,36291,22538,39753,88684,21091,52826
E06000007,Warrington,37172,19166,54615,1390,56673,18856,51262,97268,15576
E10000006,Cumbria,53085,17298,21050,25223,51042,96449,67419,93085,49848
E07000026,Allerdale,45275,55982,18159,91502,54505,7586,53378,56054,43470
E07000027,Barrow-in-Furness,23344,27464,35705,98966,68630,72297,36776,50233,87444
E07000028,Carlisle,62572,90983,87824,74622,44610,46377,78495,13041,96448
E07000029,Copeland,93162,82978,72594,77137,58462,36542,81443,83079,37527
E07000030,Eden,74564,63260,54098,11091,77094,21586,8380,92100,5712
E07000031,South Lakeland,88351,44932,1096,32909,23621,20737,95782,70681,62397
E11000001,Greater Manchester (Met County),20997,59699,37541,35495,1516,61639,71055,56034,77980
E08000001,Bolton,857,45298,6014,51178,85225,5673,24715,29342,51781
E08000002,Bury,26846,63637,2456,98576,73207,78583,53486,91416,14871
E08000003,Manchester,28827,79959,76220,81664,75045,23816,20090,94590,43050
E08000004,Oldham,45666,49996,51543,79821,66156,86616,45855,98681,39647
E08000005,Rochdale,2246,56159,7351,84836,61859,50568,15469,8831,74589
E08000006,Salford,84425,16626,23466,7174,5239,13113,56450,67668,18395
E08000007,Stockport,27834,66893,31727,57192,41070,42778,37772,69803,5098
E08000008,Tameside,94290,79634,37535,48551,32087,2340,94455,25685,64068
E08000009,Trafford,96988,47246,98034,93474,46981,70751,50507,42348,71067
E08000010,Wigan,37780,82096,71511,42863,75981,99052,32922,83020,32510
E10000017,Lancashire,36163,72943,19333,22585,82709,95434,57221,21333,53059
E07000117,Burnley,68453,9231,97791,17090,5343,32611,13003,12113,43423
E07000118,Chorley,95564,3696,97555,73977,52963,87358,16346,96845,66612
E07000119,Fylde,22212,12929,33275,68969,21921,99391,34733,24512,95793
E07000120,Hyndburn,76745,24850,45137,81288,19679,13843,35128,72859,20028
E07000121,Lancaster,40287,79522,11997,1686,44623,39593,71979,4604,63757
E07000122,Pendle,78622,48132,54777,13332,54081,53116,71186,79262,42882
E07000123,Preston,93081,86500,58869,63451,6315,76765,50917,18110,81658
E07000124,Ribble Valley,97600,28449,37191,660,71031,64768,36668,17994,64925
E07000125,Rossendale,96216,709,40149,9984,82035,96479,85871,60528,78384
E07000126,South Ribble,87255,78067,83792,25431,50246,33992,44815,94166,94865
E07000127,West Lancashire,75986,24186,17558,73418,74490,91679,14403,85663,58832
E07000128,Wyre,57880,1194,92835,75399,98065,56126,60722,45286,16260
E11000002,Merseyside (Met County),10223,86776,93537,74224,82039,66661,34917,48865,29367
