Area Code,Area Name,Owned: Owns outright,Owned: Owns with a mortgage or loan,Shared ownership: Shared ownership,Social rented: Rents from council or Local Authority,Social rented: Other social rented,Private rented: Private landlord or letting agency,Private rented: Other private rented,Lives rent free
K04000001,ENGLAND AND WALES,47361,29536,65190,2742,44517,50361,71864,94706
E92000001,ENGLAND,25128,20693,81478,91888,28016,68877,23951,91868
E12000001,NORTH EAST,75567,21499,79715,78380,26386,4880,7023,63288
E06000047,County Durham,99760,86562,70157,48766,62062,47974,44607,18036
E06000005,Darlington,12736,30075,36283,44330,39192,23371,9374,53221
E06000001,Hartlepool,33226,32134,61734,60572,44554,82246,69825,23149
E06000002,Middlesbrough,78651,73583,94948,34580,74757,56833,92387,82558
E06000057,Northumberland,29264,80151,24794,71353,78128,38082,12347,61470
E06000003,Redcar and Cleveland,4450,75712,53136,16683,68379,79087,27962,50447
E06000004,Stockton-on-Tees,63940,71034,59165,63176,5329,40129,22150,96722
E11000007,Tyne and Wear (Met County),20529,29862,33428,12202,8896,6729,46309,60713
E08000037,Gateshead,26808,40556,65396,29814,67382,17842,79736,23552
E08000021,Newcastle upon Tyne,64867,3411,71755,22037,65082,95740,47862,74983
E08000022,North Tyneside,84066,22376,36329,57395,5512,50876,31873,31419
E08000023,South Tyneside,23071,56097,13500,49650,9139,56960,90640,85274
E08000024,Sunderland,66659,55016,56024,65243,73110,26654,54175,32617
E12000002,NORTH WEST,34991,46406,76238,49457,66566,30704,55773,85178
E06000008,Blackburn with Darwen,90043,16577,92077,28751,31944,92466,53193,13912
E06000009,Blackpool,73511,12923,45997,16340,60736,61924,33679,68957
E06000049,Cheshire East,35623,38207,83478,23955,41181,56934,11080,64869
E06000050,Cheshire West and Chester,91602,55733,29669,50356,24234,60970,8012,96539
E06000006,Halton,11259,61502,50121,27500,16282,50168,34878,43155
E06000007,Warrington,79821,28556,61240,61970,3180,86521,74473,35706
E10000006,Cumbria,20816,21836,10854,22355,62222,53249,35041,61656
E07000026,Allerdale,58050,10170,69056,20090,61428,48155,50009,83432
E07000027,Barrow-in-Furness,98333,67148,32863,69509,23405,42673,72029,52013
E07000028,Carlisle,96068,19797,85103,16816,40346,52296,68903,80631
E07000029,Copeland,35119,73404,99930,57925,56021,35882,83880,51022
E07000030,Eden,57324,15539,55471,20834,89269,12564,54496,35560
E07000031,South Lakeland,5249,49019,34146,60345,68624,39607,51990,59241
E11000001,Greater Manchester (Met County),85273,20563,99655,33328,69628,87571,66248,99262
E08000001,Bolton,33288,63298,79379,3454,95552,64613,91946,26642
E08000002,Bury,93847,21884,47639,75886,53663,29555,66201,64514
E08000003,Manchester,70721,9753,75086,57473,14106,72794,21759,58931
E08000004,Oldham,21930,14699,65619,47036,64140,63796,66608,71677
E08000005,Rochdale,46201,43265,86293,44157,37558,950,57698,82006
E08000006,Salford,71298,9142,67568,1292,95677,86862,61078,32393
E08000007,Stockport,45926,52562,83751,68296,85749,82211,23228,52615
E08000008,Tameside,45430,77385,93208,83096,96073,54031,55366,71033
E08000009,Trafford,19778,4118,78341,57365,37022,10005,87409,25881
E08000010,Wigan,64874,16668,54283,93790,88337,34163,15019,38955
E10000017,Lancashire,39595,95017,78417,22577,91253,86061,80488,76488
E07000117,Burnley,24411,43884,12949,89130,53894,72332,15042,63260
E07000118,Chorley,14096,21348,59339,81638,38123,22857,7909,9631
E07000119,Fylde,14091,40184,3439,93094,2158,97269,93301,72869
E07000120,Hyndburn,95761,46056,94780,5713,14516,32782,5536,99770
E07000121,Lancaster,10167,60118,4902,63802,19892,78314,60732,31258
E07000122,Pendle,2277,3003,32234,71303,50840,38898,20354,46632
E07000123,Preston,71997,34092,65458,66714,93146,77745,44042,91943
E07000124,Ribble Valley,459,78193,42890,51866,19173,80530,11082,6203
E07000125,Rossendale,34445,19317,39215,99387,59862,83462,78086,21499
E07000126,South Ribble,27171,23207,45692,91397,60607,32896,29093,76487
E07000127,West Lancashire,30845,63128,74096,72807,52896,56152,88322,11196
E07000128,Wyre,95571,29770,76794,51353,5293,55275,56377,86457
E11000002,Merseyside (Met County),31794,57275,8113,83354,11240,94444,7179,32174
E08000011,Knowsley,44660,18102,10834,51738,10065,74262,9432,29510
E08000012,Liverpool,56899,7199,51302,76979,2737,27676,52668,21080
E08000014,Sefton,95263,47181,99940,36504,38120,42863,3904,75373
E08000013,St. Helens,89339,79632,6382,4397,6149,35412,70920,77559
E08000015,Wirral,39798,38010,17118,57262,75090,16158,64040,81240
E12000003,YORKSHIRE AND THE HUMBER,31359,26545,33276,67205,82418,86669,8161,8494
E06000011,East Riding of Yorkshire,95115,9437,92823,92370,51836,68044,69584,25355
E06000010,"Kingston upon Hull, City of",5303,60228,37956,362,34028,62965,41465,21300
E06000012,North East Lincolnshire,64838,83239,53946,55123,20764,98677,46952,48733
E06000013,North Lincolnshire,40398,91488,41057,18096,74290,47421,47786,96227
E06000014,York,78927,95824,97071,44669,86330,30098,16686,61004
E10000023,North Yorkshire,69285,26553,18275,35470,26859,59834,24488,84409
E07000163,Craven,86294,52416,7226,86284,20089,70372,90528,49467
E07000164,Hambleton,22882,53894,83837,2063,53298,22995,8528,47466
E07000165,Harrogate,71732,43183,29131,50631,72894,31137,97555,8834
E07000166,Richmondshire,74473,35115,64547,67085,26901,68890,96277,66734
E07000167,Ryedale,27034,76828,88270,9301,80991,16539,23130,37593
E07000168,Scarborough,50967,65836,70193,70172,42691,71082,88840,31783
E07000169,Selby,93877,54965,52041,20465,41400,4347,60918,35567
E11000003,South Yorkshire (Met County),72333,18520,34172,3416,94737,69830,87494,90295
E08000016,Barnsley,43755,87441,69862,14250,93619,67078,88997,94314
E08000017,Doncaster,13851,34640,1881,99775,69331,49762,817,75816
E08000018,Rotherham,20975,42613,34781,93627,92802,45120,49036,25060
E08000019,Sheffield,60539,77484,13660,73074,3816,11703,23528,89854
E11000006,West Yorkshire (Met County),68427,88813,49776,28518,31782,92986,68325,63748
E08000032,Bradford,53373,48487,63549,81204,83592,55373,95223,50094
E08000033,Calderdale,99517,29050,92978,62466,3353,23684,72270,47483
E08000034,Kirklees,92964,16312,61718,76009,37921,46667,24748,83479
E08000035,Leeds,74582,5567,54913,70596,31071,67071,88100,17941
E08000036,Wakefield,78829,18096,3276,23989,48120,68881,36282,54422
E12000004,EAST MIDLANDS,85893,89946,44136,72912,74442,24015,27526,21248
E06000015,Derby,93921,99055,59758,65419,4233,91365,46419,12958
E06000016,Leicester,12957,43940,63365,18170,92964,58580,87058,36931
E06000061,North Northamptonshire,38543,72607,67225,69355,32287,24653,9654,85617
E06000018,Nottingham,46644,60110,33282,43208,39330,37603,83348,12578
E06000017,Rutland,16455,44886,84159,299,63760,7635,69821,33067
E06000062,West Northamptonshire,73014,8798,74798,12363,91836,3342,47266,66650
E10000007,Derbyshire,54666,76610,86387,83937,2510,79646,66922,9824
E07000032,Amber Valley,34735,71668,50377,53230,76109,59972,52311,78806
E07000033,Bolsover,44753,79400,47782,42679,39915,95027,52395,21958
E07000034,Chesterfield,49773,610,5287,76264,22695,12870,41250,49470
E07000035,Derbyshire Dales,98459,31280,89993,88410,56403,14894,50327,94805
E07000036,Erewash,29065,61744,81274,13818,67549,54043,25534,59687
E07000037,High Peak,11176,83320,68131,75797,99923,55460,5480,36934
E07000038,North East Derbyshire,56390,22708,67021,54911,46879,63508,31748,73719
E07000039,South Derbyshire,85180,3232,28242,23666,77074,42588,98314,88434
E10000018,Leicestershire,79619,15076,32406,58107,58628,65852,95975,84805
E07000129,Blaby,45473,62904,45968,16939,97132,79597,15039,75780
E07000130,Charnwood,12262,72837,39522,15281,38594,94694,95052,41796
E07000131,Harborough,95160,41125,21680,24386,18535,83006,15804,39607
E07000132,Hinckley and Bosworth,55270,2775,20318,74331,85835,85547,41528,67635
E07000133,Melton,84393,26085,56618,15492,20892,12733,11126,43959
E07000134,North West Leicestershire,79373,73883,81844,50464,82007,72246,37521,47450
E07000135,Oadby and Wigston,72880,11176,85377,29449,62568,33494,44783,98483
E10000019,Lincolnshire,34220,1004,38805,73329,41690,19249,58461,67763
E07000136,Boston,85426,22225,34999,13076,7206,83692,38469,84467
E07000137,East Lindsey,85129,88370,28668,87091,41112,63443,13426,80760
E07000138,Lincoln,94846,96995,31961,40122,90992,12806,56640,60687
E07000139,North Kesteven,49799,50377,16093,19711,61554,14550,51443,69588
E07000140,South Holland,87200,46109,40702,4755,6537,34563,42703,3175
E07000141,South Kesteven,48470,22190,81668,45271,71551,81724,32615,65275
E07000142,West Lindsey,16470,54967,26740,64154,51144,86352,75958,726
E10000024,Nottinghamshire,81697,65468,64724,86570,80370,48259,23658,85497
E07000170,Ashfield,81405,2132,94357,42068,8935,95653,68991,12271
E07000171,Bassetlaw,53946,37858,95617,79440,92317,49212,96394,70773
E07000172,Broxtowe,64325,19797,15899,49154,69373,86930,43691,7601
E07000173,Gedling,54419,60698,66272,57690,766,66869,12377,48160
E07000174,Mansfield,39667,15939,35927,34764,14856,63868,61891,9062
E07000175,Newark and Sherwood,36025,20846,51627,89998,89338,22100,82918,2906
E07000176,Rushcliffe,33526,71267,40743,52037,42085,84837,5775,86554
E12000005,WEST MIDLANDS,23458,9620,3185,84240,38499,26851,16773,26727
E06000019,"Herefordshire, County of",3690,86782,28042,1170,51159,73267,26004,68833
E06000051,Shropshire,22871,80984,86895,33906,23296,50066,91761,54658
E06000021,Stoke-on-Trent,97758,63708,42081,53820,62592,15867,78968,94573
E06000020,Telford and Wrekin,96669,96553,31148,18089,53982,53203,36953,1655
E10000028,Staffordshire,53309,43200,37535,44090,27329,80103,95975,37993
E07000192,Cannock Chase,44233,64344,69086,79422,12909,71479,48277,68926
E07000193,East Staffordshire,3537,59070,21779,2901,11492,21449,8881,15773
E07000194,Lichfield,57253,24441,26629,11505,9680,22369,85099,13564
E07000195,Newcastle-under-Lyme,82470,81046,58189,22470,52397,44129,12258,52304
