Area Code,Area Name,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80plus
K04000001,ENGLAND AND WALES,38906,63929,60411,40077,14586,39118,9069,136955,16574
E92000001,ENGLAND,13667,76811,88874,59496,88990,27168,121275,11531,32406
E12000001,NORTH EAST,46953,70271,72167,4494,111793,134622,63396,9068,129134
E06000047,County Durham,57578,3830,47933,54468,74312,51728,71594,21992,9032
E06000005,Darlington,146568,68436,19472,7183,92043,3373,102918,57582,51625
E06000001,Hartlepool,69488,27112,34208,145751,30558,52319,30283,102284,12613
E06000002,Middlesbrough,18436,31322,42258,37165,63844,28481,26928,10826,19120
E06000057,Northumberland,58063,22276,52469,30158,52422,128063,54457,9793,67556
E06000003,Redcar and Cleveland,124987,112703,120004,124564,25554,88713,25513,84276,36417
E06000004,Stockton-on-Tees,42509,1547,62465,106630,59336,68424,86328,3438,37276
E11000007,Tyne and Wear (Met County),111934,83074,87857,47565,27213,23432,361,8567,68347
E08000037,Gateshead,50401,18118,83762,50572,59842,16547,116223,86067,49340
E08000021,Newcastle upon Tyne,35630,111263,81529,91229,67480,128609,18891,61871,102647
E08000022,North Tyneside,69762,67442,137936,123825,147496,136315,62642,124269,71698
E08000023,South Tyneside,72522,2103,71913,50324,99704,70901,68862,4733,131840
E08000024,Sunderland,5784,67566,44326,96285,46591,44758,132231,76319,513
E12000002,NORTH WEST,19029,31906,44174,73880,93861,18829,1921,81758,58424
E06000008,Blackburn with Darwen,118923,56936,90386,53712,40775,61455,1701,57590,29563
E06000009,Blackpool,63494,141147,42034,84163,33693,97192,36126,80996,55882
E06000049,Cheshire East,68184,90515,53269,8799,5406,63060,52777,63812,1727
E06000050,Cheshire West and Chester,118483,133397,58288,72983,5530,48597,64228,85852,70681
E06000006,Halton,57274,47955,22976,36992,89642,756,55171,81221,127022
E06000007,Warrington,20130,27382,21852,93015,30198,100959,74901,73229,1060
E10000006,Cumbria,66979,9482,52785,112099,37093,8999,16848,35215,48078
E07000026,Allerdale,29086,43772,17913,46675,79763,38764,89322,37315,20293
E07000027,Barrow-in-Furness,52293,52163,130834,12538,117172,76936,8695,91871,33489
E07000028,Carlisle,104289,5329,103844,68958,107372,70455,58323,59088,64189
E07000029,Copeland,43187,87855,25154,38543,18899,102880,10879,33744,89902
E07000030,Eden,61080,13822,14328,45030,83790,60553,35015,3181,90445
E07000031,South Lakeland,35452,36503,78552,42038,21809,24189,67761,7390,102311
E11000001,Greater Manchester (Met County),131623,55953,151576,54423,28350,53341,51712,71072,18316
E08000001,Bolton,121875,3204,16681,7408,27619,17686,2510,8762,23118
E08000002,Bury,4939,50030,69547,30853,65646,79810,83052,11961,38682
