Area Code,Area Name,0 - 4,5 - 9,10 - 15,16 - 19,20 - 24,25 - 34,35 - 49,50 - 64,65 - 74,75 - 84,85 - 115
K04000001,ENGLAND AND WALES,4612,7996,6606,6334,4211,4061,3209,3662,3608,7896,1001
E92000001,ENGLAND,8133,2777,3235,8206,1512,7567,5201,4170,4500,5337,3746
E12000001,NORTH EAST,5767,6394,5310,3548,9583,4877,1050,8668,9892,6678,8931
E06000047,County Durham,1089,9763,3279,5255,9488,4193,9960,7883,9951,1196,9984
E06000005,Darlington,3080,9691,5523,2238,8525,2901,3133,8114,7301,1923,8431
E06000001,Hartlepool,5407,6054,2511,7127,7013,1277,6191,8236,3440,8301,4359
E06000002,Middlesbrough,6902,1110,3353,6458,4514,2636,3487,5483,8156,1202,6340
E06000057,Northumberland,2556,8580,6296,4740,1430,5331,9415,2299,2874,9429,2076
E06000003,Redcar and Cleveland,4603,2705,8616,6241,2265,4214,9024,1291,3846,9047,8763
E06000004,Stockton-on-Tees,6380,2326,2524,3999,6596,6767,4555,6903,4834,6731,9894
E11000007,Tyne and Wear (Met County),4747,6058,9314,8641,7887,1139,2612,5653,5085,6666,1533
E08000037,Gateshead,8135,4852,2753,5267,9993,8818,2868,8761,9561,9793,5511
E08000021,Newcastle upon Tyne,7891,2531,5258,1741,2775,3155,6451,3090,6029,6548,7820
E08000022,North Tyneside,6929,2142,3031,5233,1936,5706,2528,4903,4225,5324,6500
E08000023,South Tyneside,2041,7760,6786,7080,7301,5871,1667,6944,4226,5931,2209
E08000024,Sunderland,4467,2557,3398,1714,6272,4915,3030,3915,1421,5857,1260
E12000002,NORTH WEST,7982,6223,9592,1788,5415,2140,9576,2590,8344,2194,8433
E06000008,Blackburn with Darwen,4448,5306,1923,7283,7179,5623,5495,7078,7284,2518,3319
E06000009,Blackpool,8245,9564,6465,4475,2229,9287,8660,1603,2253,4056,8754
E06000049,Cheshire East,3241,8954,7256,7172,5894,7023,7269,5820,6748,8053,8377
E06000050,Cheshire West and Chester,4617,2791,7089,7722,6561,8860,1028,2701,1618,2283,5877
E06000006,Halton,9125,4657,2071,7055,3498,4053,1005,5081,4846,2832,6486
E06000007,Warrington,7595,1225,1781,9813,1053,3047,3426,2648,9078,3273,2710
E10000006,Cumbria,5502,6004,9788,1331,3715,3441,6504,2731,8051,8149,7826
E07000026,Allerdale,9648,3549,1314,7379,9689,1244,4090,3775,4870,3538,7593
E07000027,Barrow-in-Furness,9739,5144,6246,5355,5024,4220,7081,1963,8797,8750,7126
E07000028,Carlisle,9746,7183,1170,9536,3965,9015,9944,3207,5151,4426,3530
E07000029,Copeland,9296,2434,5667,9556,2338,8101,8630,8770,7695,3821,9165
E07000030,Eden,3392,8018,4456,7270,2379,3208,7566,4633,8414,1969,5949
