Area Code,Area Name,One person household: Aged 66 years and over,One person household: Other,Single family household: All aged 66 years and over,Single family household: Married or civil partnership couple: No children,Single family household: Married or civil partnership couple: Dependent children,Single family household: Married or civil partnership couple: All children non-dependent,Single family household: Cohabiting couple family : No children,Single family household: Cohabiting couple family : With dependent children,Single family household: Cohabiting couple family : All children non-dependent,Single family household: Lone parent family : With dependent children,Single family household: Lone parent family : All children non-dependent,Single family household: Other single family household: Other family composition,Multiple-family household: With dependent children,"Multiple-Family Household : Other, including all full-time students and all aged 66 years and over"
K04000001,ENGLAND AND WALES,14736,84654,20309,24075,56479,54289,40107,77070,67888,74179,60299,54135,20311,12815
E92000001,ENGLAND,18683,43264,1669,55669,56419,39020,32999,88953,43443,47259,8648,32048,25987,66934
E12000001,NORTH EAST,93559,87126,99044,93773,53638,87290,21358,18329,15716,43170,77615,23170,24460,62294
E06000047,County Durham,32154,7372,47283,73790,693,18854,44645,68901,53362,8600,4410,72755,57897,38349
E06000005,Darlington,7327,90709,83108,22267,88393,25615,95838,68106,13154,59812,15532,32757,65200,45367
E06000001,Hartlepool,44479,68907,45505,42465,59324,22893,47083,58025,57016,71338,3767,38322,72259,33321
E06000002,Middlesbrough,47363,91001,48433,98723,62206,68157,98154,74394,66312,31556,42809,79177,59355,73584
E06000057,Northumberland,83717,18254,38366,94115,44903,85669,53728,59066,67606,18741,94700,92333,40368,81519
E06000003,Redcar and Cleveland,49472,72925,98033,66222,80532,72985,65668,30179,71235,5487,54610,15682,53001,24313
E06000004,Stockton-on-Tees,80252,56851,24655,39626,73779,5358,91355,34862,27647,8135,26133,31449,62517,67664
E11000007,Tyne and Wear (Met County),13711,39227,89160,80198,61648,94391,31083,59669,61506,17694,68261,69474,92837,86726
E08000037,Gateshead,56170,65032,71378,91498,86167,87674,76852,63120,75910,92278,69748,78989,90859,66197
E08000021,Newcastle upon Tyne,17208,6751,78007,78301,53541,83907,34233,4990,95642,88074,90122,72031,48991,45985
E08000022,North Tyneside,80163,75306,86980,79636,87917,38448,93440,3026,98585,4768,57166,34453,27713,645
E08000023,South Tyneside,83090,69023,52700,65929,48783,41159,64159,98618,90702,97387,32367,20317,96096,6204
E08000024,Sunderland,69800,96284,58294,76499,47821,21798,69653,26259,3559,16826,62982,78327,42834,50199
E12000002,NORTH WEST,47126,86434,99129,73496,85614,34562,16327,94127,18912,94575,83638,89357,8417,31900
E06000008,Blackburn with Darwen,3596,27586,52668,34022,99784,86521,76732,60904,15418,29663,78594,47213,29030,12801
E06000009,Blackpool,32054,64584,30642,81841,60255,84967,22534,78484,27686,97312,9987,67718,97813,28833
E06000049,Cheshire East,69674,96596,58720,64838,35483,88094,41315,63087,39533,95895,5002,24190,13846,35481
E06000050,Cheshire West and Chester,33867,45813,67110,47451,30667,81359,7699,93766,92215,39785,17492,80873,33579,91254
E06000006,Halton,3071,12151,52017,33948,16646,99440,67091,6547,95148,74540,49814,88617,66399,40372
E06000007,Warrington,71067,20957,56700,61579,96907,72822,19925,68113,47417,24204,78134,49048,32932,72965
E10000006,Cumbria,7557,94790,67077,16234,55804,71778,84629,6823,89713,52737,76055,16974,57667,26216
E07000026,Allerdale,67442,3893,62508,81249,40925,47672,4360,27426,64025,9306,92092,64358,38379,24189
E07000027,Barrow-in-Furness,41125,12949,83872,83302,41010,99196,71703,86777,67298,77857,15581,63879,32122,93661
