Area Code,Area Name,Economically active (including full-time students): In employment: Employee,Economically active (including full-time students): In employment: Self-employed,Economically active (including full-time students): Unemployed,Economically inactive: Retired,Economically inactive (including full-time students): Student,Economically inactive: Looking after home or family,Economically inactive: Long-term sick or disabled,Economically inactive: Other
K04000001,ENGLAND AND WALES,83113,39953,43958,88635,25530,34927,51862,5073
E92000001,ENGLAND,38199,56588,1691,59918,26271,72818,65711,18074
E12000001,NORTH EAST,8390,43412,89839,43670,2504,16807,79471,27147
E06000047,County Durham,14342,28517,27067,74211,26621,20821,23041,15431
E06000005,Darlington,84362,69365,57168,17121,80381,81881,79901,37214
E06000001,Hartlepool,27326,2059,23197,82861,93634,9243,90866,94723
E06000002,Middlesbrough,56465,35325,48707,81658,98616,31648,72656,68257
E06000057,Northumberland,19043,94077,72251,85513,76465,34907,33695,64254
E06000003,Redcar and Cleveland,97405,90165,75514,40418,31454,70347,24425,55880
E06000004,Stockton-on-Tees,14529,52651,98315,81930,67207,66507,84019,69717
E11000007,Tyne and Wear (Met County),81906,6593,18545,9891,29884,18759,15758,79379
E08000037,Gateshead,69130,97932,81755,81393,6439,43436,48885,13180
E08000021,Newcastle upon Tyne,95771,62593,97518,43126,75997,83000,58643,48781
E08000022,North Tyneside,32574,36412,16096,17933,78378,73295,30480,32594
E08000023,South Tyneside,43010,24322,49617,61113,87679,72902,69535,18343
E08000024,Sunderland,53936,50290,96837,14078,35075,12449,19908,54513
E12000002,NORTH WEST,92183,69984,35760,40138,15130,29948,78201,42898
E06000008,Blackburn with Darwen,97552,2685,66972,30404,93156,69943,90397,25615
E06000009,Blackpool,15713,74736,88520,55650,76252,72201,13308,56987
E06000049,Cheshire East,73637,66414,82698,67649,20721,29805,61607,69505
E06000050,Cheshire West and Chester,20205,12902,15905,3030,26127,42940,42515,14775
E06000006,Halton,5808,39440,44150,46815,84119,54667,53621,18365
E06000007,Warrington,73316,70313,53489,60091,962,9817,50034,79059
E10000006,Cumbria,60919,92837,67280,88866,64016,57611,11596,48263
E07000026,Allerdale,60611,54069,44722,29865,51966,21709,33584,43541
E07000027,Barrow-in-Furness,42332,8122,76857,62351,78437,88474,56982,55887
E07000028,Carlisle,97367,31913,53500,12818,26654,50995,66807,84540
E07000029,Copeland,68752,86309,56039,93156,73004,71462,61966,38920
E07000030,Eden,80905,46950,4908,79621,62618,96392,75924,12988
E07000031,South Lakeland,82756,19869,47537,17743,62202,51708,85035,52923
E11000001,Greater Manchester (Met County),40356,89275,58630,78141,9300,43236,26699,41381
E08000001,Bolton,10870,20791,51647,187,11659,33861,18066,51738
E08000002,Bury,91897,80474,37217,64858,70089,61243,22982,87669
E08000003,Manchester,19329,42351,34704,25604,51086,13432,81406,44459
E08000004,Oldham,67159,17682,41973,71211,11616,24619,58629,62652
